Learning Rate: 0.1
EPOCH,ABS_ERROR
0,2
1,1.96476
2,1.93096
3,1.89858
4,1.8676
5,1.83797
6,1.80967
7,1.78263
8,1.75682
9,1.73217
10,1.70864
11,1.68617
12,1.66471
13,1.64421
14,1.62461
15,1.60587
16,1.58795
17,1.57079
18,1.55437
19,1.53863
20,1.52354
21,1.50906
22,1.49517
23,1.48183
24,1.46901
25,1.45667
26,1.44481
27,1.43338
28,1.42237
29,1.41176
30,1.40152
31,1.39164
32,1.38209
33,1.37287
34,1.36395
35,1.35531
36,1.34696
37,1.33886
38,1.33101
39,1.3234
40,1.31602
41,1.30885
42,1.30188
43,1.29511
44,1.28853
45,1.28213
46,1.27589
47,1.26982
48,1.26391
49,1.25814
50,1.25252
51,1.24703
52,1.24167
53,1.23644
54,1.23133
55,1.22634
56,1.22146
57,1.21668
58,1.21201
59,1.20743
60,1.20295
61,1.19856
62,1.19426
63,1.19004
64,1.1859
65,1.18184
66,1.17785
67,1.17394
68,1.1701
69,1.16632
70,1.16261
71,1.15897
72,1.15538
73,1.15185
74,1.14838
75,1.14496
76,1.1416
77,1.13829
78,1.13502
79,1.13181
80,1.12864
81,1.12551
82,1.12243
83,1.11939
84,1.1164
85,1.11344
86,1.11052
87,1.10763
88,1.10479
89,1.10197
90,1.0992
91,1.09645
92,1.09374
93,1.09106
94,1.0884
95,1.08578
96,1.08319
97,1.08062
98,1.07808
99,1.07557
100,1.07308
101,1.07062
102,1.06818
103,1.06577
104,1.06337
105,1.061
106,1.05866
107,1.05633
108,1.05402
109,1.05174
110,1.04947
111,1.04723
112,1.045
113,1.04279
114,1.0406
115,1.03842
116,1.03627
117,1.03413
118,1.032
119,1.02989
120,1.0278
121,1.02572
122,1.02366
123,1.02161
124,1.01958
125,1.01756
126,1.01555
127,1.01356
128,1.01158
129,1.00961
130,1.00765
131,1.00571
132,1.00378
133,1.00186
134,0.999954
135,0.998057
136,0.996172
137,0.994298
138,0.992435
139,0.990582
140,0.988739
141,0.986906
142,0.985084
143,0.983271
144,0.981467
145,0.979673
146,0.977889
147,0.976113
148,0.974346
149,0.972588
150,0.970839
151,0.969098
152,0.967365
153,0.965641
154,0.963925
155,0.962216
156,0.960516
157,0.958823
158,0.957138
159,0.95546
160,0.953789
161,0.952126
162,0.95047
163,0.948821
164,0.947179
165,0.945544
166,0.943916
167,0.942294
168,0.940679
169,0.939071
170,0.937468
171,0.935872
172,0.934283
173,0.932699
174,0.931122
175,0.92955
176,0.927985
177,0.926425
178,0.924871
179,0.923323
180,0.921781
181,0.920244
182,0.918712
183,0.917186
184,0.915666
185,0.914151
186,0.912641
187,0.911136
188,0.909637
189,0.908142
190,0.906653
191,0.905169
192,0.90369
193,0.902215
194,0.900746
195,0.899281
196,0.897821
197,0.896366
198,0.894916
199,0.89347
200,0.892029
201,0.890592
202,0.88916
203,0.887732
204,0.886309
205,0.884891
206,0.883476
207,0.882066
208,0.88066
209,0.879259
210,0.877862
211,0.876469
212,0.87508
213,0.873695
214,0.872315
215,0.870938
216,0.869566
