Learning Rate: 100
EPOCH,ABS_ERROR
0,3
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0.999988
9,1
10,0.999988
11,1
12,0.999988
13,1
14,0.999988
15,1
16,0.999988
17,1
18,0.999988
19,1
20,0.999988
21,1
22,0.999988
23,1
24,0.999988
25,1
26,0.999988
27,1
28,0.999988
29,1
30,0.999988
31,1
32,0.999988
33,1
34,0.999988
35,1
36,0.999988
37,1
38,0.999988
39,1
40,0.999988
41,1
42,0.999988
43,1
44,0.999988
45,1
46,0.999988
47,1
48,0.999988
49,1
50,0.999988
51,1
52,0.999988
53,1
54,0.999988
55,1
56,0.999988
57,1
58,0.999988
59,1
60,0.999988
61,1
62,0.999988
63,1
64,0.999988
65,1
66,0.999988
67,1
68,0.999988
69,1
70,0.999988
71,1
72,0.999988
73,1
74,0.999988
75,1
76,0.999988
77,1
78,0.999988
79,1
80,0.999988
81,1
82,0.999988
83,1
84,0.999988
85,1
86,0.999988
87,1
88,0.999988
89,1
90,0.999988
91,1
92,0.999988
93,1
94,0.999988
95,1
96,0.999988
97,1
98,0.999988
99,1
100,0.999988
101,1
102,0.999988
103,1
104,0.999988
105,1
106,0.999988
107,1
108,0.999988
109,1
110,0.999988
111,1
112,0.999988
113,1
114,0.999988
115,1
116,0.999988
117,1
118,0.999988
119,1
120,0.999988
121,1
122,0.999988
123,1
124,0.999988
125,1
126,0.999988
127,1
128,0.999988
129,1
130,0.999988
131,1
132,0.999988
133,1
134,0.999988
135,1
136,0.999988
137,1
138,0.999988
139,1
140,0.999988
141,1
142,0.999988
143,1
144,0.999988
145,1
146,0.999988
147,1
148,0.999988
149,1
150,0.999988
151,1
152,0.999988
153,1
154,0.999988
155,1
156,0.999988
157,1
158,0.999988
159,1
160,0.999988
161,1
162,0.999988
163,1
164,0.999988
165,1
166,0.999988
167,1
168,0.999988
169,1
170,0.999988
171,1
172,0.999988
173,1
174,0.999988
175,1
176,0.999988
177,1
178,0.999988
179,1
180,0.999988
181,1
182,0.999988
183,1
184,0.999988
185,1
186,0.999988
187,1
188,0.999988
189,1
190,0.999988
191,1
192,0.999988
193,1
194,0.999988
195,1
196,0.999988
197,1
198,0.999988
199,1
200,0.999988
201,1
202,0.999987
203,1
204,0.999987
205,1
206,0.999987
207,1
208,0.999987
209,1
210,0.999987
211,1
212,0.999987
213,1
214,0.999987
215,1
216,0.999987
217,1
218,0.999987
219,1
220,0.999987
221,1
222,0.999987
223,1
224,0.999987
225,1
226,0.999987
227,1
228,0.999987
229,1
230,0.999987
231,1
232,0.999987
233,1
234,0.999987
235,1
236,0.999987
237,1
238,0.999987
239,1
240,0.999987
241,1
242,0.999987
243,1
244,0.999987
245,1
246,0.999987
247,1
248,0.999987
249,1
250,0.999987
251,1
252,0.999987
253,1
254,0.999987
255,1
256,0.999987
257,1
258,0.999987
259,1
260,0.999987
261,1
262,0.999987
263,1
264,0.999987
265,1
266,0.999987
267,1
268,0.999987
269,1
270,0.999987
271,1
272,0.999987
273,1
274,0.999987
275,1
276,0.999987
277,1
278,0.999987
279,1
280,0.999987
281,1
282,0.999987
283,1
284,0.999987
285,1
286,0.999987
287,1
288,0.999987
289,1
290,0.999987
291,1
292,0.999987
293,1
294,0.999987
295,1
296,0.999987
297,1
298,0.999987
299,1
300,0.999987
301,1
302,0.999987
303,1
304,0.999987
305,1
306,0.999987
307,1
308,0.999987
309,1
310,0.999987
311,1
312,0.999987
313,1
314,0.999987
315,1
316,0.999987
317,1
318,0.999987
319,1
320,0.999987
321,1
322,0.999987
323,1
324,0.999987
325,1
326,0.999987
327,1
328,0.999987
329,1
330,0.999987
331,1
332,0.999987
333,1
334,0.999987
335,1
336,0.999987
337,1
338,0.999987
339,1
340,0.999987
341,1
342,0.999987
343,1
344,0.999987
345,1
346,0.999987
347,1
348,0.999987
349,1
350,0.999987
351,1
352,0.999987
353,1
354,0.999987
355,1
356,0.999987
357,1
358,0.999987
359,1
360,0.999987
361,1
362,0.999987
363,1
364,0.999987
365,1
366,0.999987
367,1
368,0.999987
369,1
370,0.999987
371,1
372,0.999987
373,1
374,0.999987
375,1
376,0.999987
377,1
378,0.999987
379,1
380,0.999987
381,1
382,0.999987
383,1
384,0.999987
385,1
386,0.999987
387,1
388,0.999987
389,1
390,0.999987
391,1
392,0.999987
393,1
394,0.999987
395,1
396,0.999987
397,1
398,0.999987
399,1
400,0.999987
401,1
402,0.999987
403,1
404,0.999987
405,1
406,0.999987
407,1
408,0.999987
409,1
410,0.999987
411,1
412,0.999987
413,1
414,0.999987
415,1
416,0.999987
417,1
418,0.999987
419,1
420,0.999987
421,1
422,0.999987
423,1
424,0.999987
425,1
426,0.999987
427,1
428,0.999987
429,1
430,0.999987
431,1
432,0.999987
433,1
434,0.999987
435,1
436,0.999987
437,1
438,0.999987
439,1
440,0.999987
441,1
442,0.999987
443,1
444,0.999987
445,1
446,0.999987
447,1
448,0.999987
449,1
450,0.999987
451,1
452,0.999987
453,1
454,0.999987
455,1
456,0.999987
457,1
458,0.999987
459,1
460,0.999987
461,1
462,0.999987
463,1
464,0.999987
465,1
466,0.999987
467,1
468,0.999987
469,1
470,0.999987
471,1
472,0.999987
473,1
474,0.999987
475,1
476,0.999986
477,1
478,0.999986
479,1
480,0.999986
481,1
482,0.999986
483,1
484,0.999986
485,1
486,0.999986
487,1
488,0.999986
489,1
490,0.999986
491,1
492,0.999986
493,1
494,0.999986
495,1
496,0.999986
497,1
498,0.999986
499,1
500,0.999986
501,1
502,0.999986
503,1
504,0.999986
505,1
506,0.999986
507,1
508,0.999986
509,1
510,0.999986
511,1
512,0.999986
513,1
514,0.999986
515,1
516,0.999986
517,1
518,0.999986
519,1
520,0.999986
521,1
522,0.999986
523,1
524,0.999986
525,1
526,0.999986
527,1
528,0.999986
529,1
530,0.999986
531,1
532,0.999986
533,1
534,0.999986
535,1
536,0.999986
537,1
538,0.999986
539,1
540,0.999986
541,1
542,0.999986
543,1
544,0.999986
545,1
546,0.999986
547,1
548,0.999986
549,1
550,0.999986
551,1
552,0.999986
553,1
554,0.999986
555,1
556,0.999986
557,1
558,0.999986
559,1
560,0.999986
561,1
562,0.999986
563,1
564,0.999986
565,1
566,0.999986
567,1
568,0.999986
569,1
570,0.999986
571,1
572,0.999986
573,1
574,0.999986
575,1
576,0.999986
577,1
578,0.999986
579,1
580,0.999986
581,1
582,0.999986
583,1
584,0.999986
585,1
586,0.999986
587,1
588,0.999986
589,1
590,0.999986
591,1
592,0.999986
593,1
594,0.999986
595,1
596,0.999986
597,1
598,0.999986
599,1
600,0.999986
601,1
602,0.999986
603,1
604,0.999986
605,1
606,0.999986
607,1
608,0.999986
609,1
610,0.999986
611,1
612,0.999986
613,1
614,0.999986
615,1
616,0.999986
617,1
618,0.999986
619,1
620,0.999986
621,1
622,0.999986
623,1
624,0.999986
625,1
626,0.999986
627,1
628,0.999986
629,1
630,0.999986
631,1
632,0.999986
633,1
634,0.999986
635,1
636,0.999986
637,1
638,0.999986
639,1
640,0.999986
641,1
642,0.999986
643,1
644,0.999986
645,1
646,0.999986
647,1
648,0.999986
649,1
650,0.999986
651,1
652,0.999986
653,1
654,0.999986
655,1
656,0.999986
657,1
658,0.999986
659,1
660,0.999986
661,1
662,0.999986
663,1
664,0.999986
665,1
666,0.999986
667,1
668,0.999986
669,1
670,0.999986
671,1
672,0.999986
673,1
674,0.999986
675,1
676,0.999986
677,1
678,0.999986
679,1
680,0.999986
681,1
682,0.999986
683,1
684,0.999986
685,1
686,0.999986
687,1
688,0.999986
689,1
690,0.999986
691,1
692,0.999986
693,1
694,0.999986
695,1
696,0.999986
697,1
698,0.999986
699,1
700,0.999986
701,1
702,0.999986
703,1
704,0.999986
705,1
706,0.999986
707,1
708,0.999986
709,1
710,0.999985
711,1
712,0.999985
713,1
714,0.999985
715,1
716,0.999985
717,1
718,0.999985
719,1
720,0.999985
721,1
722,0.999985
723,1
724,0.999985
725,1
726,0.999985
727,1
728,0.999985
729,1
730,0.999985
731,1
732,0.999985
733,1
734,0.999985
735,1
736,0.999985
737,1
738,0.999985
739,1
740,0.999985
741,1
742,0.999985
743,1
744,0.999985
745,1
746,0.999985
747,1
748,0.999985
749,1
750,0.999985
751,1
752,0.999985
753,1
754,0.999985
755,1
756,0.999985
757,1
758,0.999985
759,1
760,0.999985
761,1
762,0.999985
763,1
764,0.999985
765,1
766,0.999985
767,1
768,0.999985
769,1
770,0.999985
771,1
772,0.999985
773,1
774,0.999985
775,1
776,0.999985
777,1
778,0.999985
779,1
780,0.999985
781,1
782,0.999985
783,1
784,0.999985
785,1
786,0.999985
787,1
788,0.999985
789,1
790,0.999985
791,1
792,0.999985
793,1
794,0.999985
795,1
796,0.999985
797,1
798,0.999985
799,1
800,0.999985
801,1
802,0.999985
803,1
804,0.999985
805,1
806,0.999985
807,1
